variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
20200623T0000,20.568188,0.0,6.487264,109.17901
20200623T0100,19.228188,0.0,6.911014,117.55281
20200623T0200,17.888187,0.0,6.874978,125.537674
20200623T0300,16.768188,0.0,6.791894,131.82016
20200623T0400,15.908188,0.0,6.595754,133.36342
20200623T0500,15.338188,0.0,6.2191706,133.26428
20200623T0600,14.358188,0.0,4.3692846,127.56859
20200623T0700,16.828188,0.0,3.4115846,128.6598
20200623T0800,20.368187,0.0,4.5288,151.9275
20200623T0900,23.198187,0.0,5.394189,159.77515
20200623T1000,25.468187,0.0,6.992683,162.25533
20200623T1100,27.138187,0.0,7.766828,174.09386
20200623T1200,28.308187,0.0,8.014169,195.42216
20200623T1300,29.118187,0.0,8.154626,218.3675
20200623T1400,29.768188,0.0,8.726379,238.73627
20200623T1500,30.148188,0.0,9.605188,250.55997
20200623T1600,30.368187,0.0,10.210455,262.50415
20200623T1700,30.228188,0.0,10.738927,277.125
20200623T1800,29.948187,0.0,10.196545,289.85522
20200623T1900,28.868187,0.0,6.911014,297.55283
20200623T2000,27.748188,0.0,5.8668513,309.47247
20200623T2100,25.738188,0.0,3.3379824,331.38956
20200623T2200,24.698187,0.0,1.332,360.0
20200623T2300,23.438189,0.0,0.5956885,63.43495
20200624T0000,22.308187,0.0,0.5328,89.99999
20200624T0100,21.168188,0.0,0.2664,89.99999
20200624T0200,20.168188,0.0,0.3767465,44.999985
20200624T0300,19.308187,0.0,1.0983953,14.03624
20200624T0400,18.608189,0.0,1.4346079,21.801407
20200624T0500,18.038187,0.0,2.1967907,14.03624
20200624T0600,17.788187,0.0,3.4734309,4.398697
20200624T0700,19.078188,0.0,9.899905,23.805939
20200624T0800,20.598188,0.0,12.070595,22.036224
20200624T0900,21.478188,0.0,12.76776,23.35556
20200624T1000,22.058187,0.0,12.91147,21.801407
20200624T1100,23.268188,0.0,12.047055,18.034286
20200624T1200,24.338188,0.0,10.293525,10.437485
20200624T1300,25.088188,0.0,8.541434,3.5763245
20200624T1400,23.508188,0.0,7.463956,357.9546
20200624T1500,23.328188,0.5,6.443357,352.875
20200624T1600,23.488188,0.0,6.2191706,350.13422
20200624T1700,23.268188,0.0,6.791894,334.44003
20200624T1800,22.868187,0.2,8.424308,325.30484
20200624T1900,21.878187,0.1,14.770192,7.253174
20200624T2000,20.978188,0.0,13.121384,5.8263397
20200624T2100,19.238188,0.0,10.154698,4.513962
20200624T2200,16.538187,0.0,7.4592,360.0
20200624T2300,15.398188,0.0,6.5795946,338.6294
20200625T0000,15.038188,0.0,7.684151,326.30994
20200625T0100,14.038188,0.0,8.64467,326.30994
20200625T0200,13.218187,0.0,8.951199,323.47113
20200625T0300,12.628188,0.0,8.4788885,316.27304
20200625T0400,12.298187,0.0,8.87156,311.34778
20200625T0500,11.258187,0.0,9.014403,304.1597
20200625T0600,12.038188,0.0,9.549612,300.1414
20200625T0700,15.098187,0.0,11.676102,304.77783
20200625T0800,16.838188,0.0,13.078042,303.3664
20200625T0900,18.298187,0.0,12.566063,302.00537
20200625T1000,19.608189,0.0,12.2919855,299.89893
20200625T1100,21.298187,0.0,11.800047,298.30078
20200625T1200,22.538187,0.0,11.697356,300.0686
20200625T1300,23.578188,0.0,11.204646,298.39304
20200625T1400,24.418188,0.0,11.201478,295.3462
20200625T1500,25.028187,0.0,11.928653,293.70264
20200625T1600,25.378187,0.0,12.132174,289.23068
20200625T1700,25.578188,0.0,12.300643,287.65012
20200625T1800,25.558187,0.0,11.712514,287.19855
20200625T1900,25.148188,0.0,10.636002,292.0679
20200625T2000,24.418188,0.0,8.512303,290.1363
20200625T2100,22.918188,0.0,4.912173,282.5288
20200625T2200,21.688189,0.0,2.7812977,253.30075
20200625T2300,20.558187,0.0,2.4560866,220.6013
20200626T0000,19.338188,0.0,2.9424841,185.19443
20200626T0100,18.018188,0.0,4.13564,165.06857
20200626T0200,17.458187,0.0,5.2542295,149.53445
20200626T0300,16.378187,0.0,5.8668513,140.52753
20200626T0400,15.078188,0.0,6.2419515,129.80557
20200626T0500,14.248188,0.0,6.354631,123.023865
20200626T0600,15.368188,0.0,6.675965,118.61046
20200626T0700,18.288187,0.0,7.2468634,143.97263
20200626T0800,20.668188,0.0,9.77365,162.55281
20200626T0900,22.348188,0.0,10.137212,183.01279
20200626T1000,23.798187,0.0,9.304952,203.62938
20200626T1100,25.458187,0.0,7.7256002,226.39719
20200626T1200,26.968187,0.0,6.6600003,253.7398
20200626T1300,28.218187,0.0,7.387499,295.64102
20200626T1400,28.818188,0.0,9.293504,332.70044
20200626T1500,29.078188,0.0,10.17913,353.991
20200626T1600,29.068188,0.0,10.685928,4.289139
20200626T1700,27.348188,0.4,11.8240795,14.349319
20200626T1800,26.498188,0.6,13.258586,22.442749
20200626T1900,25.168188,0.0,20.69021,11.888657
20200626T2000,22.548187,0.0,17.35489,17.878693
20200626T2100,20.168188,0.0,14.038547,33.388504
20200626T2200,17.768188,0.0,9.802651,47.20259
20200626T2300,16.868187,0.0,7.5207877,67.067894
20200627T0000,16.528187,0.0,7.237064,83.6598
20200627T0100,16.298187,0.6,6.399148,87.61405
20200627T0200,16.088188,0.8,5.8668513,92.602554
20200627T0300,16.108189,0.5,6.5308766,101.76829
20200627T0400,15.898188,1.0,6.270311,102.26477
20200627T0500,15.728188,1.7,6.1329885,87.510445
20200627T0600,15.918188,2.2,6.5795946,68.62937
20200627T0700,15.598187,1.7,13.078042,3.5035095
20200627T0800,15.088188,0.8,12.020515,12.804245
20200627T0900,15.278188,0.0,10.9224,12.680374
20200627T1000,16.068188,0.0,10.605932,11.592163
20200627T1100,18.538187,0.0,9.649418,6.340164
20200627T1200,19.168188,0.0,7.766828,354.09387
20200627T1300,20.958187,0.0,6.791894,334.44003
20200627T1400,20.258188,0.0,7.168091,318.01282
20200627T1500,21.148188,0.0,8.903501,308.92755
20200627T1600,20.568188,0.0,10.126704,305.3625
20200627T1700,20.208187,0.0,10.752136,311.98724
20200627T1800,19.988188,0.0,11.128379,317.91083
20200627T1900,20.148188,0.0,10.126704,324.63754
20200627T2000,19.738188,0.0,8.762899,340.46335
20200627T2100,18.828188,0.0,5.8668513,357.39746
20200627T2200,17.088188,0.0,6.3936005,360.0
20200627T2300,16.168188,0.0,7.463956,357.9546
20200628T0000,16.008188,0.0,8.7912,360.0
20200628T0100,15.368188,0.0,10.126704,1.507431
20200628T0200,14.778188,0.0,10.420294,4.398697
20200628T0300,13.918188,0.0,10.154698,4.513962
20200628T0400,13.288188,0.0,9.623642,4.7636414
20200628T0500,12.968187,0.0,9.649418,6.340164
20200628T0600,13.148188,0.0,10.605932,11.592163
20200628T0700,13.528188,0.0,13.343954,356.5664
20200628T0800,13.5581875,0.0,13.186127,351.8699
20200628T0900,13.658188,0.0,11.964296,348.43988
20200628T1000,13.628188,0.0,10.9516,341.56506
20200628T1100,14.278188,0.0,10.9839525,337.16635
20200628T1200,15.158188,0.0,11.131568,338.9625
20200628T1300,15.928188,0.0,10.9839525,345.96375
20200628T1400,17.368187,0.0,12.395474,351.34747
20200628T1500,17.328188,0.0,12.566062,355.1355
20200628T1600,19.128187,0.0,13.322664,358.85425
20200628T1700,17.648188,0.0,13.586399,360.0
20200628T1800,17.278187,0.0,13.628123,4.4845886
20200628T1900,17.088188,0.0,14.652,360.0
20200628T2000,17.018188,0.0,14.956409,4.085617
20200628T2100,15.958187,0.0,14.738928,6.22583
20200628T2200,15.478188,0.0,14.542611,8.426956
20200628T2300,15.208188,0.0,13.79633,10.00798
20200629T0000,14.898188,0.0,12.922461,8.29715
20200629T0100,14.408188,0.0,12.280433,3.7313843
20200629T0200,14.068188,0.0,11.987999,360.0
20200629T0300,13.778188,0.0,10.474637,352.69427
20200629T0400,13.438188,0.0,9.304952,346.7595
20200629T0500,12.858188,0.0,11.380612,343.68616
20200629T0600,12.718187,0.0,12.801066,347.98853
20200629T0700,13.968187,0.0,12.789975,1.1934662
20200629T0800,14.618188,0.0,13.863041,2.202591
20200629T0900,15.188188,0.1,14.652,360.0
20200629T1000,16.178188,0.0,14.661684,2.0825653
20200629T1100,16.998188,0.0,14.447136,5.290085
20200629T1200,17.318188,0.0,14.2791395,8.583603
20200629T1300,18.458187,0.0,14.1066265,10.885529
20200629T1400,18.088188,0.0,13.845113,11.0937195
20200629T1500,18.548187,0.0,13.638535,12.40741
20200629T1600,19.708187,0.0,13.698245,13.495728
20200629T1700,18.768188,0.0,13.698245,13.495728
20200629T1800,18.698187,0.0,14.020842,14.300262
20200629T1900,18.618187,0.0,14.156848,19.798874
20200629T2000,18.338188,0.0,12.199259,31.607498
20200629T2100,18.058187,0.0,8.87156,41.347763
20200629T2200,17.448187,0.4,6.66,53.130096
20200629T2300,16.028187,0.7,6.448861,51.70984
20200630T0000,15.708188,0.0,6.503653,55.007973
20200630T0100,15.118188,0.0,6.1329885,55.61966
20200630T0200,14.548187,0.0,6.2191706,46.735703
20200630T0300,14.218187,0.0,6.9926825,40.364532
20200630T0400,14.038188,0.2,8.365129,37.234833
20200630T0500,13.948188,0.8,9.910653,36.25383
20200630T0600,13.988188,1.4,11.775965,37.647614
20200630T0700,14.218187,1.9,13.693063,37.092834
20200630T0800,14.368188,2.2,14.603483,38.333344
20200630T0900,14.248188,2.6,15.081628,35.655304
20200630T1000,14.138187,1.1,14.927912,34.824493
20200630T1100,14.238188,0.8,14.336182,41.987198
20200630T1200,14.538188,0.3,14.159354,48.81407
20200630T1300,14.988188,0.3,13.386435,58.84069
20200630T1400,15.5581875,0.2,11.8240795,67.47943
20200630T1500,16.308187,0.0,10.662658,77.00538
20200630T1600,17.098188,0.0,9.649418,83.65981
20200630T1700,17.528187,0.0,9.3392105,93.27049
20200630T1800,17.858189,0.0,9.247572,101.63363
20200630T1900,17.818188,0.0,9.266738,108.434944
20200630T2000,17.798187,0.0,9.304952,113.62937
20200630T2100,17.228188,0.0,7.766828,120.96376
20200630T2200,16.428188,0.0,6.595754,133.36342
20200630T2300,14.978188,0.0,7.572511,140.71059
